commodity,opening,vol,price,high,low,date,change
gold,"1,282.20",-,"1,274.75","1,282.80","1,272.00","Oct 02, 2017",-0.47%
gold,"1,282.00",-,"1,280.75","1,282.05","1,279.85","Oct 01, 2017",-0.32%
gold,"1,290.10",287.45K,"1,284.80","1,293.20","1,278.20","Sep 29, 2017",-0.30%
gold,"1,285.10",288.51K,"1,288.70","1,291.60","1,280.40","Sep 28, 2017",0.07%
gold,"1,297.30",374.77K,"1,287.80","1,299.20","1,284.10","Sep 27, 2017",-1.07%
gold,"1,314.20",385.65K,"1,301.70","1,317.10","1,295.00","Sep 26, 2017",-0.75%
gold,"1,301.50",362.67K,"1,311.50","1,315.80","1,291.70","Sep 25, 2017",1.08%
gold,"1,294.10",264.47K,"1,297.50","1,301.90","1,294.10","Sep 22, 2017",0.21%
gold,"1,304.80",402.21K,"1,294.80","1,305.00","1,291.20","Sep 21, 2017",-1.64%
gold,"1,314.70",351.42K,"1,316.40","1,319.80","1,299.50","Sep 20, 2017",0.44%
gold,"1,310.50",275.31K,"1,310.60","1,315.30","1,308.70","Sep 19, 2017",-0.02%
silver,16.639,-,16.628,16.750,16.568,"Oct 02, 2017",-0.10%
silver,16.660,-,16.644,16.670,16.621,"Oct 01, 2017",-0.26%
silver,16.883,-,16.688,16.915,16.665,"Sep 29, 2017",-1.17%
silver,16.816,-,16.886,16.933,16.719,"Sep 28, 2017",0.82%
silver,16.700,0.04K,16.748,16.815,16.695,"Sep 27, 2017",-0.33%
silver,16.875,0.11K,16.804,16.890,16.775,"Sep 26, 2017",-1.49%
silver,16.850,0.17K,17.059,17.090,16.810,"Sep 25, 2017",0.60%
silver,17.033,-,16.957,17.033,16.931,"Sep 24, 2017",0.32%
silver,16.985,0.09K,16.903,16.985,16.905,"Sep 22, 2017",-0.20%
silver,16.895,0.21K,16.937,16.920,16.800,"Sep 21, 2017",-1.82%
silver,17.255,0.09K,17.251,17.340,17.010,"Sep 20, 2017",0.33%
gold,"1,324.00",271.33K,"1,310.80","1,324.00","1,308.10","Sep 18, 2017",-1.09%
gold,"1,333.70",320.51K,"1,325.20","1,338.20","1,323.00","Sep 15, 2017",-0.31%
gold,"1,327.60",336.58K,"1,329.30","1,334.90","1,319.50","Sep 14, 2017",0.10%
gold,"1,336.20",306.37K,"1,328.00","1,340.50","1,324.50","Sep 13, 2017",-0.35%
gold,"1,331.70",287.75K,"1,332.70","1,336.30","1,326.70","Sep 12, 2017",-0.22%
gold,"1,341.50",303.11K,"1,335.70","1,344.60","1,330.60","Sep 11, 2017",-1.15%
gold,"1,354.00",386.65K,"1,351.20","1,362.40","1,347.10","Sep 08, 2017",0.07%
gold,"1,339.00",363.78K,"1,350.30","1,355.50","1,337.20","Sep 07, 2017",0.84%
gold,"1,345.00",309.35K,"1,339.00","1,347.70","1,336.40","Sep 06, 2017",-0.41%
gold,"1,339.70",557.99K,"1,344.50","1,349.70","1,331.10","Sep 05, 2017",0.48%
gold,"1,341.21",-,"1,338.08","1,344.59","1,337.01","Sep 04, 2017",-0.23%
gold,"1,340.54",-,"1,341.22","1,342.07","1,338.96","Sep 03, 2017",0.81%
silver,17.135,0.16K,17.195,17.240,17.115,"Sep 19, 2017",0.73%
silver,17.490,0.21K,17.071,17.520,17.030,"Sep 18, 2017",-3.02%
silver,17.663,-,17.602,17.663,17.590,"Sep 17, 2017",-0.05%
silver,17.760,0.24K,17.611,17.800,17.550,"Sep 15, 2017",-0.49%
silver,17.650,0.28K,17.698,17.760,17.580,"Sep 14, 2017",-0.42%
silver,17.860,0.43K,17.772,17.910,17.635,"Sep 13, 2017",-0.13%
silver,17.780,0.36K,17.795,17.870,17.705,"Sep 12, 2017",-0.07%
silver,17.890,0.40K,17.807,17.890,17.695,"Sep 11, 2017",-0.69%
silver,17.859,-,17.930,17.953,17.828,"Sep 10, 2017",-0.54%
silver,18.090,0.36K,18.027,18.160,17.915,"Sep 08, 2017",0.06%
silver,17.840,0.81K,18.016,18.105,17.795,"Sep 07, 2017",1.12%
silver,17.915,0.31K,17.816,17.970,17.800,"Sep 06, 2017",-0.16%
silver,17.780,0.95K,17.845,17.980,17.775,"Sep 05, 2017",-0.39%
silver,17.929,-,17.914,18.025,17.865,"Sep 04, 2017",-0.11%
silver,17.895,-,17.934,17.957,17.873,"Sep 03, 2017",1.21%
